Timestamp,Which difficult emotion do you struggle with the most?,"On an average weekday, how many hours do you spend alone?",How well do you feel you manage your stress?,Would you consider yourself an introvert or an extrovert?,"When you think of a good idea, what is the first thing you usually do?","After a hard day at work/school, what do you usually do?","When you're feeling stressed or sad, which self care practice do you think is most helpful for you? (If you do not currently do any of these, please answer which you think would be best.)"
1/10/2022 8:48:35,worry,More than 4,Not very well at all,Introvert,Probably forget it lol,Sleep,getting stuff done
1/10/2022 8:48:36,sadness,More than 4,I'm okay at it,Introvert,Something else,Something else,getting stuff done
1/10/2022 8:48:37,loneliness,3 - 4,I'm okay at it,Extrovert,Google it to see if someone else had the same idea,Get creative (sing/draw/dance),getting stuff done
1/10/2022 8:48:40,none of these,More than 4,I'm okay at it,Extrovert,Share it with a friend,Work out,getting stuff done
1/10/2022 8:48:45,sadness,Less than 1,I'm okay at it,Introvert,Draw it out,Relax,journaling
1/10/2022 8:48:47,nervousness,1 - 2,I'm okay at it,Introvert,Write it down,Relax,getting stuff done
1/10/2022 8:48:53,anger,1 - 2,Not very well at all,Introvert,Write it down,Get creative (sing/draw/dance),meditation/mindfulness
1/10/2022 8:48:56,loneliness,2 - 3,I'm okay at it,Introvert,Write it down,Work out,volunteering/helping others
1/10/2022 8:49:03,loneliness,More than 4,I'm okay at it,Introvert,Probably forget it lol,Work out,getting stuff done
1/10/2022 8:49:05,loneliness,1 - 2,I'm okay at it,Introvert,Draw it out,Work out,journaling
1/10/2022 8:49:08,nervousness,3 - 4,Not very well at all,Introvert,Share it with a friend,Check out social media,getting stuff done
1/10/2022 8:49:13,nervousness,3 - 4,I'm okay at it,Introvert,Probably forget it lol,Check out social media,getting stuff done
1/10/2022 8:49:17,loneliness,1 - 2,Not very well at all,Introvert,Google it to see if someone else had the same idea,Check out social media,taking a social media break
1/10/2022 8:49:18,worry,1 - 2,Not very well at all,Introvert,Write it down,Work on my side hussle,getting stuff done
1/10/2022 8:49:19,loneliness,1 - 2,I'm okay at it,Introvert,Write it down,Work out,meditation/mindfulness
1/10/2022 8:49:20,sadness,3 - 4,I'm great at it,Extrovert,Draw it out,Work on my side hussle,journaling
1/10/2022 8:49:21,nervousness,1 - 2,Not very well at all,Introvert,Google it to see if someone else had the same idea,Get creative (sing/draw/dance),hanging out with friends
1/10/2022 8:49:22,loneliness,2 - 3,I'm okay at it,Introvert,Probably forget it lol,Sleep,meditation/mindfulness
1/10/2022 8:49:23,sadness,More than 4,I'm okay at it,Introvert,Google it to see if someone else had the same idea,Sleep,volunteering/helping others
1/10/2022 8:49:24,none of these,1 - 2,I'm okay at it,Introvert,Write it down,Work out,meditation/mindfulness
1/10/2022 8:49:24,nervousness,Less than 1,I'm great at it,Extrovert,Share it with a friend,Relax,hanging out with friends
1/10/2022 8:49:27,sadness,3 - 4,Not very well at all,Introvert,Share it with a friend,Relax,meditation/mindfulness
1/10/2022 8:49:27,nervousness,1 - 2,I'm okay at it,Extrovert,Google it to see if someone else had the same idea,Relax,hanging out with friends
1/10/2022 8:49:32,worry,More than 4,I'm okay at it,Introvert,Write it down,Check out social media,hanging out with friends
1/10/2022 8:49:35,loneliness,2 - 3,I'm okay at it,Introvert,Probably forget it lol,Relax,meditation/mindfulness
1/10/2022 8:49:36,worry,More than 4,I'm great at it,Introvert,Something else,Relax,hanging out with friends
1/10/2022 8:49:41,worry,1 - 2,I'm okay at it,Introvert,Something else,Work on my side hussle,getting stuff done
1/10/2022 8:49:43,anger,2 - 3,I'm okay at it,Introvert,Google it to see if someone else had the same idea,Work on my side hussle,volunteering/helping others
1/10/2022 8:49:44,loneliness,1 - 2,I'm okay at it,Extrovert,Share it with a friend,Work out,hanging out with friends
1/10/2022 8:49:45,loneliness,More than 4,I'm okay at it,Extrovert,Probably forget it lol,Check out social media,getting stuff done
1/10/2022 8:49:45,worry,More than 4,I'm okay at it,Introvert,Something else,Relax,getting stuff done
1/10/2022 8:49:48,worry,More than 4,Not very well at all,Introvert,Share it with a friend,Something else,hanging out with friends
1/10/2022 8:49:50,sadness,2 - 3,I'm okay at it,Introvert,Write it down,Work out,meditation/mindfulness
1/10/2022 8:49:51,loneliness,More than 4,I'm okay at it,Introvert,Probably forget it lol,Something else,getting stuff done
1/10/2022 8:49:51,loneliness,1 - 2,I'm okay at it,Extrovert,Google it to see if someone else had the same idea,Work out,journaling
1/10/2022 8:49:51,loneliness,2 - 3,I'm okay at it,Introvert,Draw it out,Get creative (sing/draw/dance),journaling
1/10/2022 8:49:53,sadness,More than 4,Not very well at all,Introvert,Share it with a friend,Check out social media,hanging out with friends
1/10/2022 8:49:53,worry,More than 4,I'm okay at it,Extrovert,Write it down,Get creative (sing/draw/dance),meditation/mindfulness
1/10/2022 8:49:54,anger,1 - 2,I'm okay at it,Introvert,Write it down,Relax,hanging out with friends
1/10/2022 8:49:55,anger,More than 4,I'm okay at it,Introvert,Google it to see if someone else had the same idea,Relax,meditation/mindfulness
1/10/2022 8:50:03,nervousness,More than 4,I'm great at it,Introvert,Probably forget it lol,Relax,getting stuff done
1/10/2022 8:50:04,worry,More than 4,I'm okay at it,Introvert,Share it with a friend,Relax,hanging out with friends
1/10/2022 8:50:07,nervousness,2 - 3,Not very well at all,Introvert,Share it with a friend,Work out,journaling
1/10/2022 8:50:11,loneliness,1 - 2,I'm okay at it,Introvert,Share it with a friend,Work out,meditation/mindfulness
1/10/2022 8:50:12,anger,Less than 1,I'm okay at it,Introvert,Google it to see if someone else had the same idea,Relax,getting stuff done
1/10/2022 8:50:13,none of these,Less than 1,I'm okay at it,Extrovert,Share it with a friend,Relax,journaling
1/10/2022 8:50:13,sadness,2 - 3,I'm okay at it,Introvert,Write it down,Work out,meditation/mindfulness
1/10/2022 8:50:19,loneliness,1 - 2,I'm great at it,Extrovert,Probably forget it lol,Check out social media,taking a social media break
1/10/2022 8:50:19,worry,More than 4,I'm okay at it,Introvert,Write it down,Relax,meditation/mindfulness
1/10/2022 8:50:21,anger,1 - 2,I'm okay at it,Introvert,Write it down,Relax,taking a social media break
1/10/2022 8:50:26,nervousness,3 - 4,I'm great at it,Extrovert,Write it down,Get creative (sing/draw/dance),volunteering/helping others
1/10/2022 8:50:26,nervousness,1 - 2,I'm okay at it,Introvert,Google it to see if someone else had the same idea,Work on my side hussle,taking a social media break
1/10/2022 8:50:28,loneliness,More than 4,I'm okay at it,Extrovert,Google it to see if someone else had the same idea,Relax,hanging out with friends
1/10/2022 8:50:42,loneliness,1 - 2,I'm great at it,Extrovert,Share it with a friend,Work out,volunteering/helping others
1/10/2022 8:50:46,none of these,1 - 2,I'm okay at it,Introvert,Write it down,Relax,hanging out with friends
1/10/2022 8:50:49,worry,3 - 4,I'm okay at it,Introvert,Write it down,Sleep,meditation/mindfulness
1/10/2022 8:50:51,worry,More than 4,I'm okay at it,Introvert,Write it down,Get creative (sing/draw/dance),journaling
1/10/2022 8:50:56,loneliness,More than 4,I'm okay at it,Introvert,Share it with a friend,Relax,hanging out with friends
1/10/2022 8:50:56,loneliness,1 - 2,I'm okay at it,Introvert,Probably forget it lol,Work out,meditation/mindfulness
1/10/2022 8:51:15,none of these,More than 4,I'm okay at it,Introvert,Google it to see if someone else had the same idea,Relax,hanging out with friends
1/10/2022 8:51:16,worry,More than 4,I'm okay at it,Introvert,Write it down,Relax,meditation/mindfulness
1/10/2022 8:51:24,worry,2 - 3,I'm okay at it,Introvert,Share it with a friend,Relax,hanging out with friends
1/10/2022 8:51:26,anger,1 - 2,I'm okay at it,Extrovert,Draw it out,Relax,journaling
1/10/2022 8:51:33,loneliness,1 - 2,Not very well at all,Introvert,Write it down,Sleep,meditation/mindfulness
1/10/2022 8:51:37,sadness,2 - 3,Not very well at all,Introvert,Share it with a friend,Work on my side hussle,journaling
1/10/2022 8:51:43,loneliness,2 - 3,I'm okay at it,Introvert,Probably forget it lol,Work on my side hussle,journaling
1/10/2022 8:51:44,worry,1 - 2,I'm okay at it,Introvert,Write it down,Relax,getting stuff done
1/10/2022 8:51:53,anger,More than 4,I'm okay at it,Introvert,Write it down,Sleep,meditation/mindfulness
1/10/2022 8:51:59,anger,2 - 3,I'm okay at it,Introvert,Share it with a friend,Something else,hanging out with friends
1/10/2022 8:52:11,worry,More than 4,Not very well at all,Introvert,Share it with a friend,Relax,taking a social media break
1/10/2022 8:52:14,worry,More than 4,I'm okay at it,Introvert,Share it with a friend,Something else,getting stuff done
1/10/2022 8:52:14,loneliness,3 - 4,I'm okay at it,Extrovert,Share it with a friend,Sleep,meditation/mindfulness
1/10/2022 8:52:27,loneliness,1 - 2,I'm okay at it,Introvert,Probably forget it lol,Work out,meditation/mindfulness
1/10/2022 8:52:37,nervousness,3 - 4,I'm okay at it,Introvert,Google it to see if someone else had the same idea,Work out,journaling
1/10/2022 8:52:49,worry,2 - 3,I'm okay at it,Introvert,Share it with a friend,Work on my side hussle,meditation/mindfulness
1/10/2022 8:53:04,anger,2 - 3,I'm okay at it,Introvert,Write it down,Work out,meditation/mindfulness
1/10/2022 8:53:36,sadness,1 - 2,I'm great at it,Introvert,Write it down,Get creative (sing/draw/dance),journaling
1/10/2022 8:53:57,loneliness,1 - 2,I'm okay at it,Introvert,Share it with a friend,Work on my side hussle,hanging out with friends
1/10/2022 8:54:25,worry,Less than 1,I'm okay at it,Introvert,Share it with a friend,Relax,hanging out with friends
1/10/2022 8:55:25,sadness,2 - 3,I'm great at it,Introvert,Share it with a friend,Relax,hanging out with friends
1/10/2022 8:56:32,sadness,Less than 1,I'm okay at it,Extrovert,Share it with a friend,Work out,getting stuff done
1/10/2022 8:58:16,sadness,More than 4,Not very well at all,Introvert,Probably forget it lol,Check out social media,taking a social media break
1/10/2022 8:59:48,sadness,1 - 2,I'm okay at it,Introvert,Draw it out,Work on my side hussle,meditation/mindfulness
1/10/2022 9:01:03,worry,More than 4,I'm okay at it,Extrovert,Share it with a friend,Relax,taking a social media break
1/10/2022 9:03:33,loneliness,1 - 2,I'm okay at it,Introvert,Draw it out,Relax,volunteering/helping others
1/10/2022 9:03:51,loneliness,2 - 3,I'm okay at it,Introvert,Share it with a friend,Work out,taking a social media break
1/10/2022 9:06:07,worry,1 - 2,Not very well at all,Introvert,Draw it out,Work out,journaling
1/10/2022 9:06:33,loneliness,Less than 1,I'm okay at it,Introvert,Write it down,Check out social media,meditation/mindfulness
1/10/2022 9:07:48,worry,1 - 2,I'm okay at it,Introvert,Probably forget it lol,Work on my side hussle,meditation/mindfulness
1/10/2022 9:08:18,worry,More than 4,I'm okay at it,Extrovert,Share it with a friend,Relax,meditation/mindfulness
1/10/2022 9:09:24,worry,More than 4,I'm okay at it,Introvert,Google it to see if someone else had the same idea,Relax,meditation/mindfulness
1/10/2022 9:23:09,nervousness,3 - 4,Not very well at all,Introvert,Google it to see if someone else had the same idea,Check out social media,getting stuff done
1/10/2022 9:24:04,loneliness,More than 4,I'm okay at it,Introvert,Share it with a friend,Work on my side hussle,meditation/mindfulness
1/10/2022 9:48:23,none of these,1 - 2,I'm okay at it,Extrovert,Share it with a friend,Work on my side hussle,getting stuff done